Date,Close
2024-04-30,100.67
2024-05-01,98.66
2024-05-02,100.21
2024-05-03,102.17
2024-05-06,98.32
2024-05-07,95.85
2024-05-08,96.16
2024-05-09,95.61
2024-05-10,95.63
2024-05-13,94.07
2024-05-14,95.8
2024-05-15,97.36
2024-05-16,97.55
2024-05-17,99.83
2024-05-20,100.83
2024-05-21,99.17
2024-05-22,99.96
2024-05-23,98.12
2024-05-24,99.92
2024-05-27,99.88
2024-05-28,99.57
2024-05-29,98.29
2024-05-30,100.78
2024-05-31,100.53
2024-06-03,99.73
2024-06-04,99.09
2024-06-05,100.21
2024-06-06,101.01
2024-06-07,101.91
2024-06-10,102.85
2024-06-11,107.41
2024-06-12,106.61
2024-06-13,105.59
2024-06-14,103.94
2024-06-17,105.29
2024-06-18,107.76
2024-06-19,107.58
2024-06-20,105.85
2024-06-21,104.19
2024-06-24,105.61
2024-06-25,107.26
2024-06-26,108.5
2024-06-27,107.13
2024-06-28,107.69
2024-07-01,108.0
2024-07-02,108.54
2024-07-03,110.52
2024-07-04,111.08
2024-07-05,112.67
2024-07-08,112.89
2024-07-09,113.61
2024-07-10,115.12
2024-07-11,111.88
2024-07-12,111.24
2024-07-15,110.26
2024-07-16,108.93
2024-07-17,108.39
2024-07-18,111.75
2024-07-19,109.9
2024-07-22,112.11
2024-07-23,108.47
2024-07-24,107.81
2024-07-25,108.23
2024-07-26,109.57
2024-07-29,111.2
2024-07-30,113.05
2024-07-31,112.33
2024-08-01,111.36
2024-08-02,113.36
2024-08-05,112.99
2024-08-06,110.21
2024-08-07,107.81
2024-08-08,105.91
2024-08-09,107.03
2024-08-12,107.4
2024-08-13,108.96
2024-08-14,108.1
2024-08-15,108.51
2024-08-16,109.94
2024-08-19,109.32
2024-08-20,110.39
2024-08-21,109.01
2024-08-22,108.28
2024-08-23,107.53
2024-08-26,105.05
2024-08-27,106.14
2024-08-28,105.21
2024-08-29,105.3
2024-08-30,106.38
2024-09-02,107.4
2024-09-03,108.9
2024-09-04,108.75
2024-09-05,107.9
2024-09-06,107.8
2024-09-09,104.28
2024-09-10,101.37
2024-09-11,98.78
2024-09-12,96.89
2024-09-13,97.72
2024-09-16,96.03
2024-09-17,95.36
2024-09-18,97.93
2024-09-19,97.29
2024-09-20,98.8
2024-09-23,97.03
2024-09-24,96.69
2024-09-25,94.93
2024-09-26,94.34
2024-09-27,96.0
2024-09-30,92.79
2024-10-01,93.66
2024-10-02,94.16
2024-10-03,93.11
2024-10-04,90.51
2024-10-07,90.69
2024-10-08,89.79
2024-10-09,90.26
2024-10-10,90.36
2024-10-11,93.35
2024-10-14,92.96
2024-10-15,91.13
2024-10-16,91.52
2024-10-17,91.98
2024-10-18,94.57
2024-10-21,96.22
2024-10-22,96.96
2024-10-23,99.9
2024-10-24,97.62
2024-10-25,96.43
2024-10-28,94.72
2024-10-29,94.04
2024-10-30,91.54
2024-10-31,92.77
2024-11-01,92.41
2024-11-04,89.79
2024-11-05,88.03
2024-11-06,88.64
2024-11-07,90.19
2024-11-08,93.92
2024-11-11,99.62
2024-11-12,100.51
2024-11-13,98.6
2024-11-14,94.54
2024-11-15,95.1
2024-11-18,93.63
2024-11-19,92.91
2024-11-20,91.83
2024-11-21,91.63
2024-11-22,93.66
2024-11-25,94.01
2024-11-26,93.77
2024-11-27,91.9
2024-11-28,88.93
2024-11-29,88.12
2024-12-02,88.08
2024-12-03,91.3
2024-12-04,91.6
2024-12-05,93.47
2024-12-06,92.6
2024-12-09,90.48
2024-12-10,88.81
2024-12-11,87.58
2024-12-12,91.44
2024-12-13,90.01
2024-12-16,91.58
2024-12-17,90.0
2024-12-18,91.75
2024-12-19,92.51
2024-12-20,92.28
2024-12-23,92.26
2024-12-24,91.11
2024-12-25,91.98
2024-12-26,91.2
2024-12-27,89.05
2024-12-30,86.85
2024-12-31,87.21
2025-01-01,90.06
2025-01-02,90.4
2025-01-03,90.24
2025-01-06,90.81
2025-01-07,93.27
2025-01-08,93.74
2025-01-09,93.03
2025-01-10,95.17
2025-01-13,96.04
2025-01-14,99.1
2025-01-15,99.52
2025-01-16,97.17
2025-01-17,94.61
2025-01-20,97.84
2025-01-21,101.33
2025-01-22,101.03
2025-01-23,100.32
2025-01-24,103.36
2025-01-27,101.16
2025-01-28,99.42
2025-01-29,100.77
2025-01-30,100.04
2025-01-31,100.09
2025-02-03,99.82
2025-02-04,100.56
2025-02-05,103.49
2025-02-06,103.74
2025-02-07,105.15
2025-02-10,100.98
2025-02-11,100.95
2025-02-12,99.32
2025-02-13,96.98
2025-02-14,95.35
2025-02-17,94.77
2025-02-18,96.58
2025-02-19,94.11
2025-02-20,94.23
2025-02-21,93.37
2025-02-24,92.82
2025-02-25,94.76
2025-02-26,95.84
2025-02-27,98.5
2025-02-28,98.25
2025-03-03,96.95
2025-03-04,96.58
2025-03-05,97.1
